Longitude,Latitude
-93.528502,30.987438
-93.5302,30.988157
-93.53950999999999,30.982944
-93.539521,30.982434
-93.540151,30.982689
-93.547871,30.900207
-93.548123,30.900623
-93.54819300000001,30.901116
-93.553566,30.842361999999998
-93.55919200000001,30.98323
-93.560128,30.894917
-93.560702,30.766426
-93.560879,30.766663
-93.561578,30.985207
-93.567212,30.976639000000002
-93.568855,30.695041999999997
-93.569715,30.973932
-93.571101,30.992109000000003
-93.572587,30.994013
-93.577584,30.776458
-93.57781,30.779509
-93.578271,30.779923999999998
-93.578405,30.779559999999996
-93.590598,30.694956
-93.593345,30.678295000000002
-93.59406899999999,30.677996999999998
-93.598404,30.946317999999998
-93.59925600000001,30.668673
-93.599777,30.67408
-93.602049,30.793664
-93.602923,30.79512
-93.604017,30.793719
-93.604302,30.791238
-93.604393,30.793328000000002
-93.605117,30.794303999999997
-93.60703000000001,30.666453000000004
-93.607866,30.662609999999997
-93.607947,30.662033
-93.60805400000001,30.662183000000002
-93.60851,30.661345
-93.608848,30.660947999999998
-93.609937,30.730490999999997
-93.61005,30.730487
-93.61080600000001,30.666269
-93.611182,30.668977
-93.611461,30.670269
-93.61154599999999,30.730113
-93.612668,30.732884000000002
-93.613354,30.672092
-93.6141,30.754263
-93.61556999999999,30.731409000000003
-93.618225,30.641732
-93.618483,30.730039
-93.619067,30.642046
-93.619314,30.642452000000002
-93.61931899999999,30.641049
-93.620811,30.645815999999996
-93.62290300000001,30.64392
-93.623294,30.018127000000003
-93.623305,30.642059999999997
-93.626068,30.684521000000004
-93.626075,30.635578999999996
-93.627666,30.743188
-93.628584,30.132113
-93.63078900000001,30.641538
-93.63359399999999,30.640924
-93.635751,30.036489000000003
-93.64050300000001,30.085815000000004
-93.642123,30.079478
-93.64260999999999,30.215895
-93.647869,30.125988
-93.651173,30.127739000000002
-93.65189699999999,30.114621000000003
-93.652665,30.140504999999997
-93.653552,30.246938
-93.653559,30.246914
-93.653711,30.139732000000002
-93.653931,30.139034999999996
-93.65549200000001,30.121252000000002
-93.655636,30.121515999999996
-93.655764,30.206434
-93.65583000000001,30.1218
-93.65592099999999,30.206383000000002
-93.655925,30.206165000000002
-93.65606,30.206103999999996
-93.65613,30.076164000000002
-93.65662900000001,30.122471
-93.65670899999999,30.140024
-93.656945,30.140320000000003
-93.657673,30.202696999999997
-93.65770699999999,30.045245
-93.657788,30.045040999999998
-93.658074,30.203031
-93.658281,30.202271000000003
-93.658441,30.202515999999996
-93.658469,30.202494
-93.658501,30.202265999999998
-93.658624,30.206999999999997
-93.65866,30.207029
-93.658785,30.206929
-93.65888199999999,30.207264000000002
-93.658909,30.204584999999998
-93.658941,30.204523
-93.658968,30.204886
-93.65896,30.204088
-93.65901099999999,30.026386
-93.659059,30.204040999999997
-93.659122,30.204257000000002
-93.659161,30.202384999999996
-93.659192,30.206215999999998
-93.65921999999999,30.206184000000004
-93.659231,30.204277
-93.65936500000001,30.138793
-93.659751,30.138645
-93.659763,30.208301000000002
-93.659767,30.208303000000004
-93.659805,30.138094
-93.66026600000001,30.207306
-93.66034499999999,30.205094
-93.660422,30.205065
-93.660431,30.20485
